idJob,idUser,HasCandidated,DateRecord,computeLifeTime,nbrFoisOccupe,nbrFoisPosteClic,nbrFoisPosteLike,nbrFoisPosteComment,nbrFoisPosteCandid,computedExpDiff,computeCorrespDipl,computeCorrespTags,computeCorrespLangs,PageSubscribed,TotBusPostsLikedByUser,TotBusPostsCommByUser,TotPageVisitsByUser,likes,saves,clicks,applications,comments,totLikes,totJobSaves,totJobClicks,totApplications,totComments,totFollowers,totBusPageVisits
84,0,0,2/1/2019,1,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0.000438596,0,0.10745614,0.003508772,0.000438596,0.010606061,0,1,0.048484848,0.006060606,0.185840708,0.1461837
46,0,0,2/1/2019,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0.001029336,0,0.17858981,0.003345342,0.00128667,0.004899559,0,0.999510044,0.020578148,0.005389515,0.172307692,0.137420719
133,2021,0,2/1/2019,24,0,1,0,0,0,-0.008130081,2,0,78,0,0,0,1,0.000486618,0,0.078345499,0.000486618,0,0.003527337,0,0.998236332,0.008818342,0.003527337,0.296296296,0.087096774
102,0,0,2/1/2019,18,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000484496,0,0.064922481,0.002906977,0,0.004424779,0,1,0.015486726,0.002212389,0.448275862,0.06029106
133,0,0,2/1/2019,24,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0.000486618,0,0.078345499,0.000486618,0,0.003527337,0,0.998236332,0.008818342,0.003527337,0.296296296,0.087096774
55,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.100734523,0.001573977,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
48,0,0,2/1/2019,12,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.001045661,0,0.047054723,0,0,0.009463722,0,1,0,0,0.833333333,0.086455331
69,0,0,2/1/2019,9,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000427899,0,0.062045357,0,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
41,0,0,2/1/2019,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.177604021,0.000279252,0,0,0,1,0.001572327,0,0.25210084,0.157615894
33,0,0,2/1/2019,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002832244,0,0.340958606,0.006753813,0.008061002,0.007936508,0,1,0.018925519,0.022588523,0.203065134,0.137440758
32,0,0,2/1/2019,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000647249,0,0.267098166,0.002373247,0.000431499,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
131,1,0,2/1/2019,28,0,51,0,0,0,0.000334113,1,0,90,1,0,0,57,0.000807103,0,0.077078289,0.000403551,0,0.009836066,0,1,0.013114754,0,0.470588235,0.100591716
131,0,0,2/1/2019,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000807103,0,0.077078289,0.000403551,0,0.009836066,0,1,0.013114754,0,0.470588235,0.100591716
